,id,date,code,name,open,high,low,close,volume,money,change_pct
0,1875656,2020-04-21,801780,银行,3275.4,3282.83,3253.13,3261.44,1252066185.0,10009252338.77,-0.41
1,1875124,2020-04-20,801780,银行,3282.41,3282.41,3264.92,3274.7,1139468300.0,8739810890.36,-0.31
2,1874592,2020-04-17,801780,银行,3273.95,3299.64,3261.45,3284.77,1472104417.0,12194245368.53,0.83
3,1874060,2020-04-16,801780,银行,3251.73,3259.59,3245.27,3257.71,993295507.0,7439767107.13,-0.27
4,1873528,2020-04-15,801780,银行,3279.19,3280.41,3263.54,3266.61,900268128.0,6673658617.69,-0.56
5,1873002,2020-04-14,801780,银行,3258.99,3284.92,3254.87,3284.92,1043949259.0,8194861692.37,1.21
6,1872470,2020-04-13,801780,银行,3254.33,3255.93,3243.17,3245.75,884569996.0,6133033306.28,-0.71
7,1871938,2020-04-10,801780,银行,3278.49,3285.25,3261.13,3268.9,1043248254.0,8084411854.36,-0.1
8,1871406,2020-04-09,801780,银行,3283.14,3283.18,3270.84,3272.11,871817568.0,6487659139.02,0.01
9,1870874,2020-04-08,801780,银行,3282.36,3284.57,3266.37,3271.84,1094805140.0,8353487090.44,-0.59
10,1870342,2020-04-07,801780,银行,3299.32,3302.38,3284.39,3291.34,1552231175.0,11589157893.06,1.17
11,1869810,2020-04-03,801780,银行,3257.29,3267.24,3243.62,3253.22,1098804319.0,8001244863.37,-0.65
12,1869278,2020-04-02,801780,银行,3235.37,3274.55,3235.37,3274.55,1104385915.0,7868963193.29,0.64
13,1868746,2020-04-01,801780,银行,3255.09,3289.41,3251.37,3253.66,1127863568.0,8226990871.43,-0.06
14,1868214,2020-03-31,801780,银行,3311.33,3315.73,3255.18,3255.7,1367935677.0,9512317019.0,-1.07
15,1867682,2020-03-30,801780,银行,3268.17,3296.51,3262.28,3290.75,1558089683.0,10802183239.45,-0.42
16,1867150,2020-03-27,801780,银行,3322.18,3332.31,3300.86,3304.47,1450555226.0,10676004355.88,0.3
17,1866618,2020-03-26,801780,银行,3254.43,3333.26,3253.19,3294.74,1751291580.0,13676375120.85,0.59
18,1866086,2020-03-25,801780,银行,3272.5,3288.25,3255.8,3275.35,1852352815.0,14308779436.03,1.73
19,1865554,2020-03-24,801780,银行,3187.8,3221.92,3178.28,3219.61,1788609665.0,13498122051.86,2.64
20,1865022,2020-03-23,801780,银行,3144.96,3165.82,3132.66,3136.92,1679379260.0,12951747791.88,-2.33
21,1864490,2020-03-20,801780,银行,3170.17,3228.33,3159.66,3211.59,2074183257.0,17055369872.4,2.33
22,1863958,2020-03-19,801780,银行,3213.54,3221.78,3110.9,3138.47,2709038895.0,21509100044.5,-2.84
23,1863426,2020-03-18,801780,银行,3315.39,3330.13,3230.25,3230.25,1988785858.0,15206053248.88,-2.31
24,1862894,2020-03-17,801780,银行,3315.23,3354.02,3269.41,3306.71,2293481308.0,16692555439.26,-0.18
25,1862362,2020-03-16,801780,银行,3414.07,3416.0,3312.67,3312.67,2802025107.0,21283316996.78,-3.02
26,1861830,2020-03-13,801780,银行,3344.65,3420.69,3333.92,3416.0,3052214843.0,22795368277.54,-0.92
27,1861298,2020-03-12,801780,银行,3458.54,3471.98,3437.69,3447.67,2013005678.0,15155492684.62,-0.51
28,1860766,2020-03-11,801780,银行,3498.41,3507.18,3465.33,3465.33,1697246421.0,12957260094.52,-0.84
29,1860234,2020-03-10,801780,银行,3442.47,3504.94,3442.47,3494.57,2256551673.0,17255929362.93,1.09
30,1859702,2020-03-09,801780,银行,3500.67,3500.67,3453.89,3456.82,2772066970.0,21592024899.49,-2.55
31,1859170,2020-03-06,801780,银行,3573.53,3580.73,3546.16,3547.4,2173273271.0,17233703260.89,-1.58
32,1858638,2020-03-05,801780,银行,3525.18,3605.84,3516.06,3604.4,3751763466.0,30948648018.73,2.69
33,1858106,2020-03-04,801780,银行,3496.09,3511.51,3489.7,3509.91,1450264707.0,11883413002.65,0.2
34,1857574,2020-03-03,801780,银行,3515.33,3524.88,3497.25,3502.86,2047989147.0,15952996961.28,0.18
35,1857042,2020-03-02,801780,银行,3443.62,3502.89,3443.62,3496.65,2022465933.0,16362156629.71,1.84
36,1856510,2020-02-28,801780,银行,3491.32,3509.77,3433.57,3433.57,2563407510.0,19271947655.33,-2.66
37,1855978,2020-02-27,801780,银行,3507.11,3532.44,3507.11,3527.3,1826665066.0,14463807007.95,0.51
38,1855446,2020-02-26,801780,银行,3469.33,3529.49,3468.14,3509.52,2385257857.0,18470801386.84,0.38
39,1854914,2020-02-25,801780,银行,3499.13,3514.67,3475.26,3496.22,2189502384.0,17357497705.6,-1.01
40,1854382,2020-02-24,801780,银行,3560.87,3569.84,3530.03,3531.85,1986989521.0,16269949847.05,-1.17
41,1853850,2020-02-21,801780,银行,3573.17,3596.6,3558.95,3573.6,2051019723.0,16509348205.06,-0.37
42,1853318,2020-02-20,801780,银行,3546.93,3591.61,3523.98,3586.75,2498180829.0,19257901050.87,1.29
43,1852786,2020-02-19,801780,银行,3538.66,3565.32,3535.27,3541.11,1580795766.0,11944916414.32,-0.06
44,1852254,2020-02-18,801780,银行,3565.22,3567.42,3538.23,3543.36,1664646203.0,13135450307.21,-1.02
45,1851722,2020-02-17,801780,银行,3515.55,3579.72,3509.16,3579.72,2176120405.0,17377578705.02,1.78
46,1851190,2020-02-14,801780,银行,3482.47,3520.73,3482.47,3517.24,1289287497.0,11017228812.94,0.87
47,1850658,2020-02-13,801780,银行,3509.15,3511.82,3486.85,3486.99,1438349268.0,11250654130.75,-0.82
48,1850126,2020-02-12,801780,银行,3505.94,3515.68,3490.8,3515.68,1474012383.0,11538297946.01,0.17
49,1849594,2020-02-11,801780,银行,3484.43,3519.64,3481.41,3509.62,1924579363.0,15123286383.08,1.05
50,1849062,2020-02-10,801780,银行,3464.88,3477.86,3456.05,3473.01,1628048445.0,12947115900.13,-0.41
51,1848530,2020-02-07,801780,银行,3472.59,3487.32,3450.36,3487.32,1845001784.0,14349480439.53,-0.46
52,1847998,2020-02-06,801780,银行,3495.71,3513.16,3462.4,3503.35,2207477843.0,16996759545.0,0.69
53,1847732,2020-02-05,801780,银行,3481.83,3501.06,3451.03,3479.24,2223221367.0,17798288570.97,-0.04
54,1847200,2020-02-04,801780,银行,3409.49,3485.58,3409.49,3480.65,2978172475.0,23076216933.72,2.03
55,1846668,2020-02-03,801780,银行,3340.93,3456.92,3340.93,3411.27,4065424545.0,29630219040.02,-6.57
56,1846136,2020-01-23,801780,银行,3721.54,3721.54,3635.76,3651.03,2313719093.0,18874571955.33,-2.41
57,1845604,2020-01-22,801780,银行,3728.87,3745.01,3701.62,3741.3,1572459861.0,12888738612.99,-0.03
58,1845072,2020-01-21,801780,银行,3778.2,3778.2,3741.25,3742.33,1598888589.0,12837049096.92,-1.38
59,1844540,2020-01-20,801780,银行,3781.86,3798.32,3778.23,3794.77,1181072210.0,10787691769.8,0.54
60,1844008,2020-01-17,801780,银行,3781.03,3795.87,3766.98,3774.42,1141922941.0,9741301458.37,-0.02
61,1843476,2020-01-16,801780,银行,3806.2,3806.2,3769.49,3775.05,1647316237.0,13632643000.75,-0.66
62,1842944,2020-01-15,801780,银行,3842.63,3842.63,3797.47,3799.95,1282658903.0,11467761524.15,-1.09
63,1842412,2020-01-14,801780,银行,3856.45,3882.05,3840.01,3841.93,1561854501.0,13371333534.56,-0.28
64,1841880,2020-01-13,801780,银行,3847.07,3853.3,3822.19,3852.59,1568989050.0,13082456499.57,0.23
65,1841348,2020-01-10,801780,银行,3846.53,3851.02,3833.0,3843.87,1159099453.0,9350141432.96,0.01
66,1840816,2020-01-09,801780,银行,3849.95,3856.38,3830.55,3843.52,1522762424.0,12537164641.0,0.55
67,1840284,2020-01-08,801780,银行,3864.09,3864.09,3820.76,3822.32,1887917140.0,15073950122.59,-1.61
68,1839752,2020-01-07,801780,银行,3881.75,3913.13,3874.78,3884.75,1844091288.0,13977083840.28,0.44
69,1839220,2020-01-06,801780,银行,3875.6,3908.98,3854.41,3867.89,2188320126.0,17221082011.18,-0.68
70,1838688,2020-01-03,801780,银行,3889.64,3903.35,3886.64,3894.21,1859556374.0,15755304130.68,0.25
71,1838156,2020-01-02,801780,银行,3859.81,3910.86,3859.81,3884.36,2889470334.0,24687760391.94,1.66
72,1837624,2019-12-31,801780,银行,3817.41,3822.86,3800.03,3821.03,1637118861.0,13018439998.2,-0.06
73,1837092,2019-12-30,801780,银行,3803.47,3823.18,3767.03,3823.18,2308040658.0,18522881154.24,-0.06
74,1836560,2019-12-27,801780,银行,3817.71,3859.44,3816.44,3825.61,2046339318.0,16160868304.41,0.08
75,1836028,2019-12-26,801780,银行,3794.96,3822.51,3793.87,3822.51,1285859541.0,9574860956.08,0.73
76,1835496,2019-12-25,801780,银行,3811.92,3812.64,3785.99,3794.7,1228576627.0,9574474638.67,-0.47
77,1834964,2019-12-24,801780,银行,3794.03,3821.4,3794.03,3812.65,1186023203.0,9850827622.64,0.61
78,1834432,2019-12-23,801780,银行,3840.5,3843.18,3786.17,3789.42,2076302485.0,15734426171.62,-1.07
79,1833900,2019-12-20,801780,银行,3832.89,3854.81,3824.93,3830.39,2193978612.0,16703443205.5,-0.03
80,1833368,2019-12-19,801780,银行,3828.51,3853.25,3823.15,3831.43,1981768086.0,15743732966.72,0.15
81,1832836,2019-12-18,801780,银行,3813.84,3847.24,3813.84,3825.63,2420923074.0,18919578177.66,0.12
82,1832304,2019-12-17,801780,银行,3765.66,3849.53,3752.7,3821.07,3763001827.0,27643750051.05,1.44
83,1831772,2019-12-16,801780,银行,3769.4,3769.4,3749.6,3766.93,1656510097.0,13295935442.36,-0.28
84,1831240,2019-12-13,801780,银行,3732.33,3777.55,3729.08,3777.55,2200385408.0,17647633566.22,1.99
85,1830708,2019-12-12,801780,银行,3716.75,3716.75,3696.69,3704.02,1177934708.0,8723479735.53,-0.25
86,1830176,2019-12-11,801780,银行,3683.32,3713.65,3679.33,3713.34,1369685410.0,10934525123.83,1.08
87,1829644,2019-12-10,801780,银行,3678.24,3685.92,3672.13,3673.58,1140933658.0,8291535946.59,-0.39
88,1829112,2019-12-09,801780,银行,3692.68,3695.23,3676.07,3687.9,1218805715.0,9076380658.61,-0.18
89,1828580,2019-12-06,801780,银行,3697.37,3703.54,3677.91,3694.55,971965702.0,7989722487.5,0.1
90,1828048,2019-12-05,801780,银行,3686.64,3698.19,3673.85,3690.74,1075011873.0,8385023034.62,0.5
91,1827516,2019-12-04,801780,银行,3674.74,3681.1,3663.57,3672.28,991793503.0,7380503305.81,-0.51
92,1826984,2019-12-03,801780,银行,3667.66,3691.03,3656.73,3690.92,1028498944.0,7782344632.75,0.38
93,1826452,2019-12-02,801780,银行,3678.49,3690.01,3677.05,3677.05,893679451.0,7052046763.4,0.1
94,1825920,2019-11-29,801780,银行,3691.8,3707.76,3668.3,3673.42,1109120769.0,8666720818.79,-0.62
95,1825388,2019-11-28,801780,银行,3708.19,3714.2,3685.57,3696.31,880111981.0,6960384475.08,-0.4
96,1824856,2019-11-27,801780,银行,3711.87,3723.56,3700.36,3711.08,956831755.0,8337103609.48,0.11
97,1824324,2019-11-26,801780,银行,3743.41,3743.41,3707.07,3707.07,1696418455.0,13890222612.57,-0.63
98,1823792,2019-11-25,801780,银行,3696.36,3736.01,3696.36,3730.41,1336815731.0,10183188753.78,1.2
99,1823260,2019-11-22,801780,银行,3713.67,3723.01,3681.38,3686.21,1119190328.0,9302458884.34,-0.39
100,1822728,2019-11-21,801780,银行,3695.68,3714.74,3681.27,3700.57,1169323918.0,9427048637.8,-0.28
101,1822196,2019-11-20,801780,银行,3763.88,3767.14,3707.37,3710.89,1345695697.0,12903049661.68,-1.77
102,1821664,2019-11-19,801780,银行,3769.01,3789.95,3766.44,3777.73,1102149631.0,9319132076.36,-0.03
103,1821132,2019-11-18,801780,银行,3731.34,3788.74,3728.41,3778.86,1199082211.0,10943084997.99,1.21
104,1820600,2019-11-15,801780,银行,3748.2,3760.22,3725.38,3733.63,1098583659.0,9229619301.86,-0.05
105,1820068,2019-11-14,801780,银行,3762.85,3762.85,3723.46,3735.35,1218380214.0,9805289132.99,-0.51
106,1819536,2019-11-13,801780,银行,3763.8,3771.99,3743.77,3754.64,1189404779.0,10185001277.93,-0.46
107,1819004,2019-11-12,801780,银行,3769.75,3780.68,3754.62,3771.98,1154852206.0,9826575414.09,0.19
108,1818472,2019-11-11,801780,银行,3802.35,3802.35,3762.82,3764.86,1690003257.0,13700769581.44,-1.53
109,1817940,2019-11-08,801780,银行,3891.3,3891.3,3819.98,3823.49,1666906985.0,14081055646.18,-1.25
110,1817408,2019-11-07,801780,银行,3880.44,3891.49,3858.01,3871.96,1397804038.0,12090909998.09,-0.22
111,1816876,2019-11-06,801780,银行,3866.96,3901.9,3854.71,3880.68,1928985575.0,17376342728.88,0.34
112,1816344,2019-11-05,801780,银行,3822.89,3907.93,3817.27,3867.56,2596689757.0,22709486980.02,1.16
113,1815812,2019-11-04,801780,银行,3815.8,3845.94,3810.95,3823.17,1599458086.0,15021312673.41,0.57
