,id,date,code,name,open,high,low,close,volume,money,change_pct
0,1875514,2020-04-21,801050,有色金属,2732.82,2732.92,2683.95,2706.64,1970976604.0,16766096062.4,-1.58
1,1874982,2020-04-20,801050,有色金属,2739.68,2750.15,2726.02,2750.15,1925452390.0,16628040688.16,-0.07
2,1874450,2020-04-17,801050,有色金属,2767.59,2775.69,2745.36,2751.96,2493550054.0,24101515457.36,-0.58
3,1873918,2020-04-16,801050,有色金属,2746.23,2768.19,2727.61,2768.12,2110804841.0,19956298131.09,0.2
4,1873386,2020-04-15,801050,有色金属,2788.22,2795.09,2761.26,2762.46,2470596438.0,23792602642.6,-1.03
5,1872860,2020-04-14,801050,有色金属,2728.54,2791.21,2726.71,2791.21,2749410580.0,25693132599.41,3.39
6,1872328,2020-04-13,801050,有色金属,2701.02,2706.61,2688.49,2699.67,1534550549.0,13999615526.56,-0.53
7,1871796,2020-04-10,801050,有色金属,2792.3,2792.45,2711.7,2714.02,2311415371.0,21784057614.16,-1.78
8,1871264,2020-04-09,801050,有色金属,2781.15,2781.15,2751.8,2763.26,1950942357.0,18363915655.08,-0.16
9,1870732,2020-04-08,801050,有色金属,2740.47,2788.32,2737.38,2767.75,2543781704.0,23530780452.11,0.17
10,1870200,2020-04-07,801050,有色金属,2723.33,2763.13,2718.22,2763.13,2919701461.0,26786192255.27,3.67
11,1869668,2020-04-03,801050,有色金属,2689.97,2702.46,2660.19,2665.39,2146231814.0,20845085554.78,-0.92
12,1869136,2020-04-02,801050,有色金属,2634.42,2690.2,2627.09,2690.2,2148265911.0,20176856056.58,1.09
13,1868604,2020-04-01,801050,有色金属,2613.28,2679.89,2606.28,2661.32,2505609748.0,25195359177.97,1.24
14,1868072,2020-03-31,801050,有色金属,2622.38,2646.54,2598.98,2628.62,2081629384.0,18966281695.53,1.0
15,1867540,2020-03-30,801050,有色金属,2633.7,2633.83,2584.59,2602.72,2162326286.0,19994658367.17,-2.79
16,1867008,2020-03-27,801050,有色金属,2718.93,2718.93,2676.38,2677.36,2136511914.0,20493907566.09,-0.65
17,1866476,2020-03-26,801050,有色金属,2700.84,2723.28,2682.9,2694.96,2419450489.0,22362539733.88,-1.03
18,1865944,2020-03-25,801050,有色金属,2735.12,2738.1,2701.55,2723.09,3012269320.0,28075894633.41,2.37
19,1865412,2020-03-24,801050,有色金属,2646.01,2660.05,2597.32,2660.05,3308077771.0,29301756941.1,4.15
20,1864880,2020-03-23,801050,有色金属,2587.45,2614.7,2548.0,2554.14,2441932997.0,20845750723.0,-4.18
21,1864348,2020-03-20,801050,有色金属,2657.66,2669.1,2602.2,2665.64,2295950517.0,20746415021.26,1.48
22,1863816,2020-03-19,801050,有色金属,2616.51,2640.6,2557.93,2626.85,2651647041.0,23012890168.63,-0.35
23,1863284,2020-03-18,801050,有色金属,2714.91,2742.29,2636.18,2636.18,2587616248.0,23705178521.6,-1.9
24,1862752,2020-03-17,801050,有色金属,2727.69,2759.45,2612.79,2687.21,2788474749.0,24948322117.87,-1.29
25,1862220,2020-03-16,801050,有色金属,2850.66,2850.66,2709.73,2722.26,2863179733.0,26821387494.81,-4.07
26,1861688,2020-03-13,801050,有色金属,2726.22,2857.89,2720.32,2837.73,3167950677.0,27280459074.88,-2.02
27,1861156,2020-03-12,801050,有色金属,2917.47,2926.13,2872.91,2896.31,2545552154.0,22797322600.28,-2.81
28,1860624,2020-03-11,801050,有色金属,3021.4,3026.99,2979.75,2979.97,2772358358.0,26626867052.56,-1.18
29,1860092,2020-03-10,801050,有色金属,2921.51,3016.52,2884.05,3015.6,3533984161.0,32093484313.66,1.41
30,1859560,2020-03-09,801050,有色金属,3100.81,3100.81,2972.81,2973.61,3945026100.0,38278289629.59,-4.97
31,1859028,2020-03-06,801050,有色金属,3112.83,3157.0,3112.18,3129.18,3444181532.0,33606697742.59,-0.22
32,1858496,2020-03-05,801050,有色金属,3113.66,3136.1,3090.37,3136.1,3892770632.0,34291864307.75,1.3
