,id,date,code,name,open,high,low,close,volume,money,change_pct
0,1875725,2020-04-21,801750,计算机,5256.59,5326.79,5232.92,5319.04,4944749881.0,69343220390.4,0.63
1,1875193,2020-04-20,801750,计算机,5179.94,5286.0,5162.47,5286.0,4262128297.0,60854986069.05,2.15
2,1874661,2020-04-17,801750,计算机,5214.7,5276.28,5165.5,5174.62,5061365459.0,70689532072.04,0.29
3,1874129,2020-04-16,801750,计算机,5029.07,5173.65,5017.5,5159.83,4172712044.0,55653102150.6,2.04
4,1873597,2020-04-15,801750,计算机,5096.27,5141.48,5054.86,5056.62,3547638753.0,51481080912.27,-0.55
5,1873071,2020-04-14,801750,计算机,4973.81,5084.66,4973.81,5084.66,3211056432.0,46492686400.19,2.98
6,1872539,2020-04-13,801750,计算机,5006.85,5006.85,4916.96,4937.55,3048796929.0,42112385459.97,-2.42
7,1872007,2020-04-10,801750,计算机,5252.64,5252.64,5044.3,5060.1,4173870110.0,61862419967.77,-3.97
8,1871475,2020-04-09,801750,计算机,5229.14,5279.05,5212.15,5269.19,4058739470.0,62684076930.26,1.66
9,1870943,2020-04-08,801750,计算机,5163.11,5210.76,5158.47,5182.9,3910775710.0,57470441707.58,0.07
10,1870411,2020-04-07,801750,计算机,5095.33,5181.33,5095.28,5179.18,3642606970.0,55690107477.1,4.27
11,1869879,2020-04-03,801750,计算机,5030.62,5049.66,4946.5,4966.85,2488590463.0,40486079636.44,-1.6
12,1869347,2020-04-02,801750,计算机,4838.95,5047.4,4838.92,5047.4,2959709109.0,47434971002.87,4.16
13,1868815,2020-04-01,801750,计算机,4840.8,4953.3,4830.9,4845.58,2527746970.0,39091708587.66,-0.17
14,1868283,2020-03-31,801750,计算机,4932.18,4945.3,4848.52,4853.74,2514541151.0,38473777822.33,-0.22
15,1867751,2020-03-30,801750,计算机,4980.52,4980.52,4797.3,4864.6,3241661646.0,51119457063.96,-4.3
16,1867219,2020-03-27,801750,计算机,5250.41,5250.41,5080.95,5083.11,3156357650.0,53627549877.86,-1.99
17,1866687,2020-03-26,801750,计算机,5188.76,5274.72,5168.73,5186.17,3159481558.0,50448927513.92,-0.79
18,1866155,2020-03-25,801750,计算机,5244.69,5260.58,5172.65,5227.57,3750032603.0,59662907953.42,2.03
19,1865623,2020-03-24,801750,计算机,5132.01,5165.41,4933.91,5123.52,4084036759.0,63900204829.72,2.2
20,1865091,2020-03-23,801750,计算机,5115.1,5173.64,4991.65,5013.25,3499937753.0,57905504030.37,-5.24
21,1864559,2020-03-20,801750,计算机,5354.81,5371.68,5203.61,5290.57,3525630895.0,61537179890.14,0.02
22,1864027,2020-03-19,801750,计算机,5188.22,5316.53,5100.44,5289.28,4032675823.0,70421627671.79,1.84
23,1863495,2020-03-18,801750,计算机,5338.56,5444.42,5193.57,5193.7,4383838575.0,77107009599.86,-1.6
24,1862963,2020-03-17,801750,计算机,5293.01,5335.65,5062.91,5278.09,4069681549.0,69209020573.76,1.68
25,1862431,2020-03-16,801750,计算机,5549.36,5549.36,5167.34,5190.92,4739428571.0,79684273810.5,-5.8
26,1861899,2020-03-13,801750,计算机,5198.46,5565.14,5198.46,5510.49,4902011225.0,81163204676.88,0.51
27,1861367,2020-03-12,801750,计算机,5452.88,5540.13,5410.59,5482.28,3888057447.0,63528903642.11,-1.39
28,1860835,2020-03-11,801750,计算机,5724.1,5770.05,5557.84,5559.4,4818492437.0,78907963201.38,-2.42
29,1860303,2020-03-10,801750,计算机,5398.56,5697.2,5385.32,5697.2,5140677390.0,86851897231.49,4.75
30,1859771,2020-03-09,801750,计算机,5665.22,5683.17,5438.66,5438.66,5296793892.0,87806280173.99,-6.34
31,1859239,2020-03-06,801750,计算机,5779.07,5873.15,5775.2,5806.53,4719937562.0,77837426299.54,-1.3
32,1858707,2020-03-05,801750,计算机,6075.53,6086.51,5800.93,5883.09,5935314833.0,106444572294.54,-0.81
33,1858175,2020-03-04,801750,计算机,5952.92,6040.51,5785.72,5931.05,5726190102.0,105037221523.64,-0.81
34,1857643,2020-03-03,801750,计算机,5962.86,6195.62,5904.37,5979.67,6819822694.0,128978161544.46,2.54
35,1857111,2020-03-02,801750,计算机,5671.92,5877.76,5584.09,5831.77,5512033700.0,98572472978.82,4.76
36,1856579,2020-02-28,801750,计算机,5716.78,5844.14,5557.07,5566.93,6607609221.0,114454186041.89,-7.09
37,1856047,2020-02-27,801750,计算机,5896.58,6118.89,5782.27,5991.89,6460069462.0,119962234696.34,2.2
38,1855515,2020-02-26,801750,计算机,6028.52,6082.02,5830.77,5863.03,7540935877.0,130758231128.4,-4.72
